
2025/05/28 (17:27:12) | ===> btop++ v.1.4.0
2025/05/28 (17:27:12) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/28 (17:27:16) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (17:31:53) | ===> btop++ v.1.4.0
2025/05/28 (17:31:53) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/28 (17:32:01) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (17:32:24) | ===> btop++ v.1.4.0
2025/05/28 (17:32:24) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/28 (17:32:30) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (17:34:41) | ===> btop++ v.1.4.0
2025/05/28 (17:34:41) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/28 (17:35:07) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (20:58:19) | ===> btop++ v.1.4.0
2025/05/28 (20:58:19) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/28 (20:58:24) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (21:09:15) | ===> btop++ v.1.4.0
2025/05/28 (21:09:15) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/28 (21:09:23) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (21:13:26) | ===> btop++ v.1.4.0
2025/05/28 (21:13:26) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/28 (21:13:41) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (23:57:02) | ===> btop++ v.1.4.0
2025/05/28 (23:57:02) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/28 (23:57:21) | WARNING: Failed to join _runner thread on exit!

2025/05/28 (23:58:30) | ===> btop++ v.1.4.0
2025/05/28 (23:58:30) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/28 (23:58:35) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (08:42:32) | ===> btop++ v.1.4.0
2025/05/29 (08:42:32) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.

2025/05/29 (08:42:37) | ===> btop++ v.1.4.0
2025/05/29 (08:42:37) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/29 (08:42:40) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (12:31:25) | ===> btop++ v.1.4.0
2025/05/29 (12:31:25) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/29 (12:31:30) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (17:17:45) | ===> btop++ v.1.4.0
2025/05/29 (17:17:45) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/29 (17:19:58) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (21:10:14) | ===> btop++ v.1.4.0
2025/05/29 (21:10:14) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/29 (21:10:37) | WARNING: Failed to join _runner thread on exit!

2025/05/29 (21:25:43) | ===> btop++ v.1.4.0
2025/05/29 (21:25:43) | WARNING: No good candidate for cpu sensor found, using random from all found sensors.
2025/05/29 (21:26:29) | WARNING: Failed to join _runner thread on exit!
